accounting_change	Accounting Change	BIGINT
accounts_payable	Accounts Payable	BIGINT
accounts_receivable	Accounts Receivable - Trade Net	BIGINT
accrued_expenses	Accrued Expenses	BIGINT
accum_depr_total	Accumulated Depreciation Total	BIGINT
acq_of_business	Acquisition of Business	BIGINT
addit_paid_cap	Additional Paid-In Capital	BIGINT
basic_eps_excl_extra_items	Basic EPS Excluding Extraordinary Items	DOUBLE(15,4)
basic_eps_incl_extra_items	Basic EPS Including Extraordinary Items	DOUBLE(15,4)
basic_eps_pre_stock	Basic EPS pre Stock Based Exp.	BIGINT
basic_norm_eps	Basic Normalized EPS	DOUBLE(15,4)
basic_weight_avg_shares	Basic Weighted Average Shares	BIGINT
capital_expend	Capital Expenditures	BIGINT
capital_lease	Capital Lease Obligations	BIGINT
cash	Cash	BIGINT
cash_and_equiv	Cash and Equivalents	BIGINT
cash_and_short_term_invest	Cash and Short Term Investments	BIGINT
cash_from_financing	Cash from Financing Activities	BIGINT
cash_from_investing	Cash from Investing Activities	BIGINT
cash_from_operating	Cash from Operating Activities	BIGINT
cash_interest_paid	Cash Interest Paid	BIGINT
cash_payments	Cash Payments	BIGINT
cash_taxes_paid	Cash Taxes Paid	BIGINT
change_work_capital	Changes in Working Capital	BIGINT
common_stock_total	Common Stock Total	BIGINT
cost_of_revenue	Cost of Revenue	BIGINT
curr_lt_debt_vs_capital_leases	Current Port. of LT Debt vs Capital Leases	BIGINT
current_ratio	Current Ratio	DOUBLE(15,4)
debt_vs_equity	Debt vs Equity	BIGINT
deferred_income_tax	Deferred Income Tax	BIGINT
deferred_tax	Deferred Taxes	BIGINT
deprec_supp	Depreciation Supplemental	BIGINT
deprec_vs_amort	Depreciation vs Amortization	BIGINT
deprec_vs_delplet	Depreciation vs Depletion	BIGINT
diluted_eps_excl_extra_items	Diluted EPS Excluding Extraordinary Items	DOUBLE(15,4)
diluted_eps_incl_extra_items	Diluted EPS Including Extraordinary Items	DOUBLE(15,4)
diluted_eps_pre_stock	Diluted EPS pre Stock Based Exp.	DOUBLE(15,4)
diluted_norm_eps	Diluted Normalized EPS	DOUBLE(15,4)
diluted_weight_avg_shares	Diluted Weighted Average Shares	BIGINT
dilution_adjust	Dilution Adjustment	BIGINT
discont_operations	Discontinued Operations	BIGINT
dividend_per_share_common	Dividends per Share - Common Stock Primary Issue	BIGINT
effect_special_items_inc_tax	Effect of Special Items on Income Taxes	BIGINT
equity_in_affiliates	Equity In Affiliates	BIGINT
extra_items	Extraordinary Item	BIGINT
financing_cash_flow	Financing Cash Flow Items	BIGINT
foreign_exch_effects	Foreign Exchange Effects	BIGINT
gain_loss_sale_assets	Gain (Loss) on Sale of Assets	BIGINT
goodwill_net	Goodwill Net	BIGINT
gross_dividends_common	Gross Dividends - Common Stock	BIGINT
gross_profit	Gross Profit	BIGINT
gross_profit_margin	Gross Profit Margin	DOUBLE(15,4)
income_tax_ex_impact_spec_items	Income Taxes Ex. Impact of Special Items	BIGINT
income_avail_common_excl_extra	Income Available to Common Excl. Extra Items	BIGINT
income_avail_common_incl_extra	Income Available to Common Incl. Extra Items	BIGINT
income_tax_total	Income Tax - Total	BIGINT
income_tax_payable	Income Taxes Payable	BIGINT
intangibles_net	Intangibles Net	BIGINT
interest_expense_net_operating	Interest Expense Net Operating	BIGINT
